,Deployment.Location.ID,X,Area,Project,Grid,Camera,StartDate,EndDate,Treatment,GPSX,GPSY,Near_river,Near_road,Near_PA,Near_CP,Dry_NDVI,Wet_NDVI,Cols,Species,Season,sum
290,Y8400,30,South,Makgadikgadi,Makgadikgadi.South.D6,D6,2/3/2022,8/1/2022,Unknown,24.32667711,-21.14719393,36039.56,290.1,6937.1278,2822.28,0.1476034,0.26941115,#B2AA20,BLACK-BACKED JACKAL,Dry,6
291,Y8400,30,South,Makgadikgadi,Makgadikgadi.South.D6,D6,2/3/2022,8/1/2022,Unknown,24.32667711,-21.14719393,36039.56,290.1,6937.1278,2822.28,0.1476034,0.26941115,#B2AA20,WILDCAT,Wet,1
292,Y8500,39,South,Makgadikgadi,Makgadikgadi.South.E7,E7,2/2/2022,8/1/2022,Unknown,24.39197884,-21.14861053,30105.58,548.12,13035.3598,4335.19,0.13873807,0.22457428,#B2AA20,BLACK-BACKED JACKAL,Wet,2
293,Y8500,39,South,Makgadikgadi,Makgadikgadi.South.E7,E7,2/2/2022,8/1/2022,Unknown,24.39197884,-21.14861053,30105.58,548.12,13035.3598,4335.19,0.13873807,0.22457428,#B2AA20,BLACK-BACKED JACKAL,Dry,4
294,Y8600,13,South,Makgadikgadi,Makgadikgadi.South.B5,B5,1/30/2022,8/1/2022,Trail,24.22212174,-21.12127928,25236.71,0.65,17573.7886,5805.24,0.14892845,0.18951337,#AA20B2,CARACAL,Dry,1
295,Y8600,13,South,Makgadikgadi,Makgadikgadi.South.B5,B5,1/30/2022,8/1/2022,Trail,24.22212174,-21.12127928,25236.71,0.65,17573.7886,5805.24,0.14892845,0.18951337,#AA20B2,BLACK-BACKED JACKAL,Dry,8
296,Y8600,13,South,Makgadikgadi,Makgadikgadi.South.B5,B5,1/30/2022,8/1/2022,Trail,24.22212174,-21.12127928,25236.71,0.65,17573.7886,5805.24,0.14892845,0.18951337,#AA20B2,WILDCAT,Wet,6
297,Y8600,13,South,Makgadikgadi,Makgadikgadi.South.B5,B5,1/30/2022,8/1/2022,Trail,24.22212174,-21.12127928,25236.71,0.65,17573.7886,5805.24,0.14892845,0.18951337,#AA20B2,WILDCAT,Dry,8
298,Y8700,18,South,Makgadikgadi,Makgadikgadi.South.C2,C2,1/30/2022,8/1/2022,On road,24.15110367,-21.23299288,20380.95,4.93,22725.2099,861.62,0.1268877,0.21550687,#20B2AA,BLACK-BACKED JACKAL,Wet,1
299,Y8800,34,South,Makgadikgadi,Makgadikgadi.South.E2,E2,2/1/2022,8/1/2022,Trail,24.21219858,-21.31050357,15690.18,5.55,27281.5598,3844.63,0.14723927,0.26879987,#AA20B2,CARACAL,Dry,2
300,Y8800,34,South,Makgadikgadi,Makgadikgadi.South.E2,E2,2/1/2022,8/1/2022,Trail,24.21219858,-21.31050357,15690.18,5.55,27281.5598,3844.63,0.14723927,0.26879987,#AA20B2,WILDCAT,Dry,2
301,Y8800,34,South,Makgadikgadi,Makgadikgadi.South.E2,E2,2/1/2022,8/1/2022,Trail,24.21219858,-21.31050357,15690.18,5.55,27281.5598,3844.63,0.14723927,0.26879987,#AA20B2,BLACK-BACKED JACKAL,Wet,9
302,Y8800,34,South,Makgadikgadi,Makgadikgadi.South.E2,E2,2/1/2022,8/1/2022,Trail,24.21219858,-21.31050357,15690.18,5.55,27281.5598,3844.63,0.14723927,0.26879987,#AA20B2,BLACK-BACKED JACKAL,Dry,2
303,Y8900,16,South,Makgadikgadi,Makgadikgadi.South.B8,B8,2/3/2022,8/1/2022,Unknown,24.32765528,-21.02103087,10278.82,30.73,32626.963,4036.07,0.11490183,0.1833102,#B2AA20,BLACK-BACKED JACKAL,Wet,4
304,Y8900,16,South,Makgadikgadi,Makgadikgadi.South.B8,B8,2/3/2022,8/1/2022,Unknown,24.32765528,-21.02103087,10278.82,30.73,32626.963,4036.07,0.11490183,0.1833102,#B2AA20,BLACK-BACKED JACKAL,Dry,3
305,Y8900,16,South,Makgadikgadi,Makgadikgadi.South.B8,B8,2/3/2022,8/1/2022,Unknown,24.32765528,-21.02103087,10278.82,30.73,32626.963,4036.07,0.11490183,0.1833102,#B2AA20,CARACAL,Dry,2
306,Y9000,4,South,Makgadikgadi,Makgadikgadi.South.A4,A4,1/30/2022,8/1/2022,Trail,24.1514946,-21.10457909,5630.21,33.07,31557.6445,6526.53,0.11694969,0.1839772,#AA20B2,BLACK-BACKED JACKAL,Wet,7
307,Y9000,4,South,Makgadikgadi,Makgadikgadi.South.A4,A4,1/30/2022,8/1/2022,Trail,24.1514946,-21.10457909,5630.21,33.07,31557.6445,6526.53,0.11694969,0.1839772,#AA20B2,AARDWOLF,Wet,2
308,Y9000,4,South,Makgadikgadi,Makgadikgadi.South.A4,A4,1/30/2022,8/1/2022,Trail,24.1514946,-21.10457909,5630.21,33.07,31557.6445,6526.53,0.11694969,0.1839772,#AA20B2,CARACAL,Wet,1
309,Y9000,4,South,Makgadikgadi,Makgadikgadi.South.A4,A4,1/30/2022,8/1/2022,Trail,24.1514946,-21.10457909,5630.21,33.07,31557.6445,6526.53,0.11694969,0.1839772,#AA20B2,AARDWOLF,Dry,5
310,Y9000,4,South,Makgadikgadi,Makgadikgadi.South.A4,A4,1/30/2022,8/1/2022,Trail,24.1514946,-21.10457909,5630.21,33.07,31557.6445,6526.53,0.11694969,0.1839772,#AA20B2,BLACK-BACKED JACKAL,Dry,4
